name,id,locations
Bulbasaur,001,"['Ultra Moon/alola/Route 2', 'Ultra Sun/alola/Route 2']"
Ivysaur,002,[]
Venusaur,003,[]
Charmander,004,"['Ultra Sun/alola/Route 3', 'Ultra Moon/alola/Route 3']"
Charmeleon,005,[]
Charizard,006,[]
Squirtle,007,"['Ultra Sun/alola/Seaward Cave', 'Ultra Moon/alola/Seaward Cave']"
Wartortle,008,[]
Blastoise,009,[]
Caterpie,010,"['Pokémon Gold/kanto/Route 2', 'LeafGreen/kanto/Route 2', 'SoulSilver/johto/National Park', 'Sun/alola/Route 5', 'Pokémon Blue (Jp.)/kanto/Viridian Forest', 'Diamond/sinnoh/Route 204', 'Ultra Moon/alola/Melemele Meadow', 'Pokémon Red/kanto/Route 25', 'FireRed/kanto/Pattern Bush', 'HeartGold/kanto/Route 2', 'Pearl/sinnoh/Route 204', 'Pokémon Gold/johto/Azalea Town', 'LeafGreen/kanto/Pattern Bush', 'Y/kalos/Route 2', 'Ultra Moon/alola/Lush Jungle', 'Pokémon Gold/kanto/Route 26', 'HeartGold/johto/Ilex Forest', 'Ultra Sun/alola/Route 1', 'Pokémon Red/kanto/Viridian Forest', 'Pokémon Green (Jp.) | Pokémon Blue (Intl.)/kanto/Route 25', 'Pokémon Gold/johto/Route 34', 'Pokémon Crystal/johto/Route 31', 'Moon/alola/Route 5', 'Pokémon Gold/johto/Route 39', 'Sun/alola/Route 1', 'Moon/alola/Melemele Meadow', 'Ultra Moon/alola/Route 1', 'Pokémon Green (Jp.) | Pokémon Blue (Intl.)/kanto/Route 2', 'HeartGold/johto/Route 30', 'Pokémon Gold/johto/Route 38', 'HeartGold/kanto/Viridian Forest', 'FireRed/kanto/Route 25', 'Sun/alola/Lush Jungle', 'LeafGreen/kanto/Route 24', 'Moon/alola/Lush Jungle', 'Pokémon Green (Jp.) | Pokémon Blue (Intl.)/kanto/Viridian Forest', 'Pokémon Yellow/kanto/Viridian Forest', 'HeartGold/johto/National Park', 'Moon/alola/Route 1', 'Platinum/sinnoh/Eterna Forest', 'X/kalos/Santalune Forest', 'Pokémon Gold/johto/Ilex Forest', 'Platinum/sinnoh/Route 204', 'Pokémon Green (Jp.) | Pokémon Blue (Intl.)/kanto/Route 24', 'Pokémon Gold/johto/Route 35', 'Pokémon Gold/kanto/Route 27', 'FireRed/kanto/Route 24', 'HeartGold/johto/Route 31', 'Pokémon Crystal/kanto/Route 2', 'Pokémon Blue (Jp.)/kanto/Route 25', 'Pokémon Crystal/johto/Route 30', 'Pokémon Gold/johto/Route 37', 'Pokémon Silver/johto/National Park', 'Ultra Sun/alola/Route 5', 'FireRed/kanto/Route 2', 'Ultra Sun/alola/Melemele Meadow', 'Pokémon Crystal/kanto/Route 24', 'Pokémon Crystal/kanto/Route 25', 'Ultra Moon/alola/Route 5', 'Pokémon Blue (Jp.)/kanto/Route 2', 'Pokémon Gold/johto/Lake of Rage', 'Pokémon Gold/johto/Route 30', 'Pokémon Crystal/johto/Ilex Forest', 'FireRed/kanto/Viridian Forest', 'LeafGreen/kanto/Route 25', 'LeafGreen/kanto/Viridian Forest', 'Sun/alola/Melemele Meadow', 'Pokémon Gold/johto/National Park', 'Pokémon Gold/johto/Route 36', 'Pokémon Blue (Jp.)/kanto/Route 24', 'Ultra Sun/alola/Lush Jungle', 'Pokémon Crystal/johto/National Park', 'Pokémon Gold/johto/Route 31', 'Y/kalos/Santalune Forest']"
