name,long_id,stat_total,hp,attack,defense,sp_attack,sp_defense,speed,type1,type2,ev_from,ev_to,is_base,is_full_ev,evo_family,capture_rate,gen_introduced,is_legendary,height_m,weight_kg,locations
Bulbasaur,001,318,45,49,49,65,65,45,grass,poison,,['002'],1,0,"['001', '002', '003']",45,1,0,0.7,6.9,"['Ultra Moon/alola/Route 2', 'Ultra Sun/alola/Route 2']"
Ivysaur,002,405,60,62,63,80,80,60,grass,poison,001,['003'],0,0,"['001', '002', '003']",45,1,0,1.0,13.0,[]
Venusaur,003,525,80,82,83,100,100,80,grass,poison,002,[],0,1,"['001', '002', '003']",45,1,0,2.0,100.0,[]
Charmander,004,309,39,52,43,60,50,65,fire,,,['005'],1,0,"['004', '005', '006']",45,1,0,0.6,8.5,"['Ultra Sun/alola/Route 3', 'Ultra Moon/alola/Route 3']"
Charmeleon,005,405,58,64,58,80,65,80,fire,,004,['006'],0,0,"['004', '005', '006']",45,1,0,1.1,19.0,[]
Charizard,006,534,78,84,78,109,85,100,fire,flying,005,[],0,1,"['004', '005', '006']",45,1,0,1.7,90.5,[]
Squirtle,007,314,44,48,65,50,64,43,water,,,['008'],1,0,"['007', '008', '009']",45,1,0,0.5,9.0,"['Ultra Sun/alola/Seaward Cave', 'Ultra Moon/alola/Seaward Cave']"
Wartortle,008,405,59,63,80,65,80,58,water,,007,['009'],0,0,"['007', '008', '009']",45,1,0,1.0,22.5,[]
Blastoise,009,530,79,83,100,85,105,78,water,,008,[],0,1,"['007', '008', '009']",45,1,0,1.6,85.5,[]
Caterpie,010,195,45,30,35,20,20,45,bug,,,['011'],1,0,"['010', '011', '012']",255,1,0,0.3,2.9,"['Pokémon Gold/kanto/Route 2', 'LeafGreen/kanto/Route 2', 'SoulSilver/johto/National Park', 'Sun/alola/Route 5', 'Pokémon Blue (Jp.)/kanto/Viridian Forest', 'Diamond/sinnoh/Route 204', 'Ultra Moon/alola/Melemele Meadow', 'Pokémon Red/kanto/Route 25', 'FireRed/kanto/Pattern Bush', 'HeartGold/kanto/Route 2', 'Pearl/sinnoh/Route 204', 'Pokémon Gold/johto/Azalea Town', 'LeafGreen/kanto/Pattern Bush', 'Y/kalos/Route 2', 'Ultra Moon/alola/Lush Jungle', 'Pokémon Gold/kanto/Route 26', 'HeartGold/johto/Ilex Forest', 'Ultra Sun/alola/Route 1', 'Pokémon Red/kanto/Viridian Forest', 'Pokémon Green (Jp.) | Pokémon Blue (Intl.)/kanto/Route 25', 'Pokémon Gold/johto/Route 34', 'Pokémon Crystal/johto/Route 31', 'Moon/alola/Route 5', 'Pokémon Gold/johto/Route 39', 'Sun/alola/Route 1', 'Moon/alola/Melemele Meadow', 'Ultra Moon/alola/Route 1', 'Pokémon Green (Jp.) | Pokémon Blue (Intl.)/kanto/Route 2', 'HeartGold/johto/Route 30', 'Pokémon Gold/johto/Route 38', 'HeartGold/kanto/Viridian Forest', 'FireRed/kanto/Route 25', 'Sun/alola/Lush Jungle', 'LeafGreen/kanto/Route 24', 'Moon/alola/Lush Jungle', 'Pokémon Green (Jp.) | Pokémon Blue (Intl.)/kanto/Viridian Forest', 'Pokémon Yellow/kanto/Viridian Forest', 'HeartGold/johto/National Park', 'Moon/alola/Route 1', 'Platinum/sinnoh/Eterna Forest', 'X/kalos/Santalune Forest', 'Pokémon Gold/johto/Ilex Forest', 'Platinum/sinnoh/Route 204', 'Pokémon Green (Jp.) | Pokémon Blue (Intl.)/kanto/Route 24', 'Pokémon Gold/johto/Route 35', 'Pokémon Gold/kanto/Route 27', 'FireRed/kanto/Route 24', 'HeartGold/johto/Route 31', 'Pokémon Crystal/kanto/Route 2', 'Pokémon Blue (Jp.)/kanto/Route 25', 'Pokémon Crystal/johto/Route 30', 'Pokémon Gold/johto/Route 37', 'Pokémon Silver/johto/National Park', 'Ultra Sun/alola/Route 5', 'FireRed/kanto/Route 2', 'Ultra Sun/alola/Melemele Meadow', 'Pokémon Crystal/kanto/Route 24', 'Pokémon Crystal/kanto/Route 25', 'Ultra Moon/alola/Route 5', 'Pokémon Blue (Jp.)/kanto/Route 2', 'Pokémon Gold/johto/Lake of Rage', 'Pokémon Gold/johto/Route 30', 'Pokémon Crystal/johto/Ilex Forest', 'FireRed/kanto/Viridian Forest', 'LeafGreen/kanto/Route 25', 'LeafGreen/kanto/Viridian Forest', 'Sun/alola/Melemele Meadow', 'Pokémon Gold/johto/National Park', 'Pokémon Gold/johto/Route 36', 'Pokémon Blue (Jp.)/kanto/Route 24', 'Ultra Sun/alola/Lush Jungle', 'Pokémon Crystal/johto/National Park', 'Pokémon Gold/johto/Route 31', 'Y/kalos/Santalune Forest']"
Metapod,011,205,50,20,55,25,25,30,bug,,010,['012'],0,0,"['010', '011', '012']",120,1,0,0.7,9.9,"['Pokémon Gold/kanto/Route 2', 'SoulSilver/johto/National Park', 'Sun/alola/Route 5', 'Pokémon Blue (Jp.)/kanto/Viridian Forest', 'Ultra Moon/alola/Melemele Meadow', 'Pokémon Red/kanto/Route 25', 'FireRed/kanto/Pattern Bush', 'HeartGold/kanto/Route 2', 'Pokémon Gold/johto/Azalea Town', 'LeafGreen/kanto/Pattern Bush', 'Ultra Moon/alola/Lush Jungle', 'Pokémon Gold/kanto/Route 26', 'HeartGold/johto/Ilex Forest', 'Pokémon Red/kanto/Viridian Forest', 'Pokémon Green (Jp.) | Pokémon Blue (Intl.)/kanto/Route 25', 'Pokémon Gold/johto/Route 34', 'White/unova/Route 12', 'Moon/alola/Route 5', 'Pokémon Gold/johto/Route 39', 'Sun/alola/Route 1', 'Moon/alola/Melemele Meadow', 'HeartGold/johto/Route 30', 'Pokémon Gold/johto/Route 38', 'HeartGold/kanto/Viridian Forest', 'FireRed/kanto/Route 25', 'Sun/alola/Lush Jungle', 'LeafGreen/kanto/Route 24', 'Moon/alola/Lush Jungle', 'Pokémon Green (Jp.) | Pokémon Blue (Intl.)/kanto/Viridian Forest', 'Pokémon Yellow/kanto/Viridian Forest', 'HeartGold/johto/National Park', 'Moon/alola/Route 1', 'Platinum/sinnoh/Eterna Forest', 'Pokémon Gold/johto/Ilex Forest', 'Pokémon Green (Jp.) | Pokémon Blue (Intl.)/kanto/Route 24', 'Pokémon Gold/johto/Route 35', 'Pokémon Gold/kanto/Route 27', 'FireRed/kanto/Route 24', 'HeartGold/johto/Route 31', 'Pokémon Blue (Jp.)/kanto/Route 25', 'Ultra Sun/alola/Route 5', 'Pokémon Gold/johto/Route 37', 'Pokémon Silver/johto/National Park', 'Ultra Sun/alola/Melemele Meadow', 'Pokémon Crystal/kanto/Route 24', 'Pokémon Crystal/kanto/Route 25', 'Ultra Moon/alola/Route 5', 'Pokémon Gold/johto/Lake of Rage', 'Pokémon Gold/johto/Route 30', 'Pokémon Crystal/johto/Ilex Forest', 'FireRed/kanto/Viridian Forest', 'LeafGreen/kanto/Route 25', 'Pearl/sinnoh/Eterna Forest', 'Diamond/sinnoh/Eterna Forest', 'LeafGreen/kanto/Viridian Forest', 'Sun/alola/Melemele Meadow', 'Pokémon Gold/johto/National Park', 'Pokémon Gold/johto/Route 36', 'Pokémon Blue (Jp.)/kanto/Route 24', 'Ultra Sun/alola/Lush Jungle', 'Pokémon Crystal/johto/National Park', 'Pokémon Gold/johto/Route 31', 'Y/kalos/Santalune Forest']"
Butterfree,012,395,60,45,50,90,80,70,bug,flying,011,[],0,1,"['010', '011', '012']",45,1,0,1.1,32.0,"['HeartGold/johto/National Park', 'Pokémon Gold/kanto/Route 2', 'SoulSilver/johto/National Park', 'Pokémon Gold/johto/Ilex Forest', 'Sun/alola/Route 5', 'Pokémon Gold/johto/Route 35', 'Pokémon Gold/kanto/Route 27', 'Ultra Moon/alola/Melemele Meadow', 'HeartGold/kanto/Route 2', 'Pokémon Crystal/kanto/Route 2', 'Ultra Sun/alola/Route 5', 'Pokémon Gold/johto/Route 37', 'Pokémon Silver/johto/National Park', 'Pokémon Gold/johto/Azalea Town', 'Ultra Sun/alola/Melemele Meadow', 'Ultra Moon/alola/Lush Jungle', 'Pokémon Gold/kanto/Route 26', 'Pokémon Crystal/kanto/Route 24', 'White 2/unova/Pinwheel Forest', 'Pokémon Crystal/kanto/Route 25', 'Ultra Moon/alola/Route 5', 'Pokémon Gold/johto/Lake of Rage', 'White/unova/Route 12', 'Pokémon Crystal/johto/Ilex Forest', 'Pokémon Gold/johto/Route 34', 'Moon/alola/Route 5', 'Pokémon Gold/johto/Route 39', 'Moon/alola/Melemele Meadow', 'Sun/alola/Melemele Meadow', 'Pokémon Gold/johto/National Park', 'Pokémon Gold/johto/Route 36', 'Pokémon Gold/johto/Route 38', 'HeartGold/kanto/Viridian Forest', 'Ultra Sun/alola/Lush Jungle', 'Sun/alola/Lush Jungle', 'Pokémon Crystal/johto/National Park', 'Moon/alola/Lush Jungle']"
Weedle,013,195,40,35,30,20,20,50,bug,poison,,['014'],1,0,"['013', '014', '015']",255,1,0,0.3,3.2,"['Pokémon Red/kanto/Route 24', 'LeafGreen/kanto/Route 2', 'SoulSilver/johto/National Park', 'Pokémon Silver/johto/Ilex Forest', 'Pokémon Red/kanto/Route 2', 'Pokémon Blue (Jp.)/kanto/Viridian Forest', 'Diamond/sinnoh/Route 204', 'SoulSilver/johto/Ilex Forest', 'Pokémon Red/kanto/Route 25', 'FireRed/kanto/Pattern Bush', 'SoulSilver/johto/Route 30', 'Pearl/sinnoh/Route 204', 'LeafGreen/kanto/Pattern Bush', 'Pokémon Red/kanto/Viridian Forest', 'Pokémon Green (Jp.) | Pokémon Blue (Intl.)/kanto/Route 25', 'Pokémon Crystal/johto/Route 31', 'Pokémon Silver/johto/Lake of Rage', 'Pokémon Silver/johto/Route 37', 'X/kalos/Route 2', 'Pokémon Silver/johto/Route 30', 'FireRed/kanto/Route 25', 'Pokémon Silver/kanto/Route 26', 'LeafGreen/kanto/Route 24', 'Pokémon Green (Jp.) | Pokémon Blue (Intl.)/kanto/Viridian Forest', 'HeartGold/johto/National Park', 'Platinum/sinnoh/Eterna Forest', 'X/kalos/Santalune Forest', 'Pokémon Silver/johto/Route 39', 'Platinum/sinnoh/Route 204', 'Pokémon Silver/kanto/Route 27', 'FireRed/kanto/Route 24', 'Pokémon Silver/johto/Route 36', 'Pokémon Silver/johto/Route 31', 'Pokémon Blue (Jp.)/kanto/Route 25', 'Pokémon Crystal/johto/Route 30', 'SoulSilver/kanto/Route 2', 'Pokémon Silver/johto/National Park', 'FireRed/kanto/Route 2', 'Pokémon Silver/johto/Route 34', 'SoulSilver/kanto/Viridian Forest', 'Pokémon Silver/kanto/Route 2', 'Pokémon Silver/johto/Route 35', 'Pokémon Crystal/johto/Ilex Forest', 'FireRed/kanto/Viridian Forest', 'Pokémon Silver/johto/Route 38', 'LeafGreen/kanto/Route 25', 'LeafGreen/kanto/Viridian Forest', 'Pokémon Gold/johto/National Park', 'Pokémon Silver/johto/Azalea Town', 'SoulSilver/johto/Route 31', 'Pokémon Crystal/johto/National Park', 'Y/kalos/Santalune Forest']"
